"idb","names","descriptions","images","prices","siteofficiel","categories","linkproducts","desponiblitys","logoofficiel"
"2"," IPRO L40 3G+ - Gold"," Taille d'écran4.0 Processeur:QuadCoreSystéme d'exploitation:Android 6.0MémoireRAM:512 Mo Stockage:4 GoExtensible Jusqu'à32 GoAppareil Photo Arriére:5.0 MégaPixelsLed Flash light.Appareil Photo...","https://static.mytek.tn/img/p/8/1/4/3/2/81432-product_category.jpg","139.900 ","Mytek","smartphone","https://www.mytek.tn/smartphone-tunisie/28749-smartphone-ipro-kylin-4-3g-gold.html"," DISPONIBLE ","https://static.mytek.tn/img/mytek-informatique-logo-1482243620.jpg"
"3"," IPRO L40 3G+ - Bleu"," Taille d'écran4.0 Processeur:QuadCoreSystéme d'exploitation:Android 6.0MémoireRAM:512 Mo Stockage:4 GoExtensible Jusqu'à32 GoAppareil Photo Arriére:5.0 MégaPixelsLed Flash light.Appareil Photo...","https://static.mytek.tn/img/p/8/1/4/3/7/81437-product_category.jpg","139.900 ","Mytek","smartphone","https://www.mytek.tn/smartphone-tunisie/28752-smartphone-ipro-kylin-4-3g-bleu.html"," DISPONIBLE ","https://static.mytek.tn/img/mytek-informatique-logo-1482243620.jpg"
"4"," IPRO L40 3G+ - Rose"," Taille d'écran4.0 Processeur:QuadCoreSystéme d'exploitation:Android 6.0MémoireRAM:512 Mo Stockage:4 GoExtensible Jusqu'à32 GoAppareil Photo Arriére:5.0 MégaPixelsLed Flash light.Appareil Photo...","https://static.mytek.tn/img/p/8/1/4/3/5/81435-product_category.jpg","139.900 ","Mytek","smartphone","https://www.mytek.tn/smartphone-tunisie/28751-smartphone-ipro-kylin-4-3g-rose.html"," DISPONIBLE ","https://static.mytek.tn/img/mytek-informatique-logo-1482243620.jpg"
"5"," IPRO L50 3G+ - Gold"," Taille d'écran5.0 Processeur:QuadCoreSystéme d'exploitation:Android 6.0MémoireRAM:1 Go Stockage:8 GoExtensible Jusqu'à32 GoAppareil Photo Arriére:8.0 MégaPixelsLed Flash light.Appareil Photo...","https://static.mytek.tn/img/p/8/1/4/2/8/81428-product_category.jpg","189.900 ","Mytek","smartphone","https://www.mytek.tn/smartphone-tunisie/28746-smartphone-ipro-kylin-5s-3g-gold.html"," DISPONIBLE ","https://static.mytek.tn/img/mytek-informatique-logo-1482243620.jpg"
"6"," IPRO L50 3G+ - Noir"," Taille d'écran5.0 Processeur:QuadCoreSystéme d'exploitation:Android 6.0MémoireRAM:1 Go Stockage:8 GoExtensible Jusqu'à32 GoAppareil Photo Arriére:8.0 MégaPixelsLed Flash light.Appareil Photo...","https://static.mytek.tn/img/p/8/1/4/2/5/81425-product_category.jpg","189.900 ","Mytek","smartphone","https://www.mytek.tn/smartphone-tunisie/28745-smartphone-ipro-kylin-5s-3g-noir.html"," DISPONIBLE ","https://static.mytek.tn/img/mytek-informatique-logo-1482243620.jpg"
"7"," IKU Y3 - Gris (IKU-Y3-GRAY)"," Ecran: 5.5HDProcesseur:Quad coreSystème d'exploitation:AndroidMémoire RAM:1 GoStockage:16 GoAppareil Photo Arriére:5 MP + 2 MP Appareil Photo Frontale:5 MPCapacité de Batterie:2500...","https://static.mytek.tn/img/p/8/0/9/4/0/80940-product_category.jpg","189.900 ","Mytek","smartphone","https://www.mytek.tn/smartphone-tunisie/28448-smartphone-iku-y3-gris-iku-y3-gray.html"," COMMANDE 48H ","https://static.mytek.tn/img/mytek-informatique-logo-1482243620.jpg"
"8"," IKU Y3 - Noir (IKU-Y3-BLACK)"," Ecran: 5.5HDProcesseur:Quad coreSystème d'exploitation:AndroidMémoire RAM:1 GoStockage:16 GoAppareil Photo Arriére:5 MP + 2 MP Appareil Photo Frontale:5 MPCapacité de Batterie:2500...","https://static.mytek.tn/img/p/8/0/9/3/2/80932-product_category.jpg","189.900 ","Mytek","smartphone","https://www.mytek.tn/smartphone-tunisie/28444-smartphone-iku-y3-gris-iku-y3-black.html"," DISPONIBLE ","https://static.mytek.tn/img/mytek-informatique-logo-1482243620.jpg"
"9"," IKU Y3 - Gold (IKU-Y3-GOLD)"," Ecran: 5.5HDProcesseur:Quad coreSystème d'exploitation:AndroidMémoire RAM:1 GoStockage:16 GoAppareil Photo Arriére:5 MP + 2 MP Appareil Photo Frontale:5 MPCapacité de Batterie:2500...","https://static.mytek.tn/img/p/8/0/9/4/3/80943-product_category.jpg","189.900 ","Mytek","smartphone","https://www.mytek.tn/smartphone-tunisie/28446-smartphone-iku-y3-gold-iku-y3-gold.html"," DISPONIBLE ","https://static.mytek.tn/img/mytek-informatique-logo-1482243620.jpg"
"10"," IKU Y3 - Rouge (IKU-Y3-RED)"," Ecran: 5.5HDProcesseur:Quad coreSystème d'exploitation:AndroidMémoire RAM:1 GoStockage:16 GoAppareil Photo Arriére:5 MP + 2 MP Appareil Photo Frontale:5 MPCapacité de Batterie:2500...","https://static.mytek.tn/img/p/8/0/9/3/6/80936-product_category.jpg","189.900 ","Mytek","smartphone","https://www.mytek.tn/smartphone-tunisie/28447-smartphone-iku-y3-rouge-iku-y3-red.html"," DISPONIBLE ","https://static.mytek.tn/img/mytek-informatique-logo-1482243620.jpg"
"11"," TECNO Pop 2F - Bleu"," Ecran:5.45Processeur:Quad core1.3GHzSystème d'exploitation:Android Oreo v8.1(édition Go) Mémoire RAM:1GStockage: 16 GoAppareil Photo5MP(Arriére).8 MP(Avant)avec double flashCapacité de...","https://static.mytek.tn/img/p/8/0/5/4/5/80545-product_category.jpg","195.000 ","Mytek","smartphone","https://www.mytek.tn/smartphone-tunisie/28242-smartphone-tecno-pop-2f-bleu.html"," DISPONIBLE ","https://static.mytek.tn/img/mytek-informatique-logo-1482243620.jpg"
"12"," TECNO Pop 2F - Noir"," Ecran:5.45Processeur:Quad core1.3GHzSystème d'exploitation:Android Oreo v8.1(édition Go) Mémoire RAM:1GStockage: 16 GoAppareil Photo5MP(Arriére).8 MP(Avant)avec double flashCapacité de...","https://static.mytek.tn/img/p/8/0/5/3/6/80536-product_category.jpg","195.000 ","Mytek","smartphone","https://www.mytek.tn/smartphone-tunisie/28238-smartphone-tecno-pop-2f-noir.html"," DISPONIBLE ","https://static.mytek.tn/img/mytek-informatique-logo-1482243620.jpg"
"13"," NOKIA C1 - Rouge"," Ecran:5.45 FWVGA+ IPS Résolution:960 x 480 pixels Systéme d'exploitation: Android 9.0 PieProcesseur:Mediatek MT6739WWQuadCore1.3 GHz MémoireRAM:1 Go Stockage:16 GoExtensible Jusqu'à64 GoAppareil Photo...","https://static.mytek.tn/img/p/8/1/9/7/9/81979-product_category.jpg","199.000 ","Mytek","smartphone","https://www.mytek.tn/smartphone-tunisie/29054-smartphone-nokia-c1-rouge.html"," DISPONIBLE ","https://static.mytek.tn/img/mytek-informatique-logo-1482243620.jpg"
"14"," NOKIA C1 - Noir"," Ecran:5.45 FWVGA+ IPS Résolution:960 x 480 pixels Systéme d'exploitation: Android 9.0 PieProcesseur:Mediatek MT6739WWQuadCore1.3 GHz MémoireRAM:1 Go Stockage:16 GoExtensible Jusqu'à64 GoAppareil Photo...","https://static.mytek.tn/img/p/8/1/9/7/3/81973-product_category.jpg","199.000 ","Mytek","smartphone","https://www.mytek.tn/smartphone-tunisie/29050-smartphone-nokia-c1-noir.html"," DISPONIBLE ","https://static.mytek.tn/img/mytek-informatique-logo-1482243620.jpg"
"15"," EVERTEK V5 3G - Gris"," Ecran: 4.95 FWVGA (480 x 960 pixels)Processeur:SC7731EQuad core 1.3GHzSystème d'exploitation:Android GoMémoire RAM:1Go Stockage:8Go Appareil Photo5.0 MP(Arriére).5.0 MP(Avant)Capacité de Batterie:2000...","https://static.mytek.tn/img/p/7/7/6/2/4/77624-product_category.jpg","199.000 ","Mytek","smartphone","https://www.mytek.tn/smartphone-tunisie/26947-smartphone-evertek-v5-3g-gris.html"," DISPONIBLE ","https://static.mytek.tn/img/mytek-informatique-logo-1482243620.jpg"
